country_name,ppl_weeks,ppl_avg_pay_rate,ppl_full_equiv_weeks,p_hcl_weeks,p_hcl_avg_pr,p_hcl_fe_wk,p_tpl_wk,p_tpl_avg_pr,p_tpl_fe_wk,pml_weeks,pml_avg_pay_rate,pml_full_equiv_weeks,m_hcl_weeks,m_hcl_avg_pr,m_hcl_fe_wk,m_tpl_wk,m_tpl_avg_pr,m_tpl_fe_wk
Australia,2.0,42.9,0.9,0.0,0.0,0.0,2.0,42.9,0.9,18.0,42.9,7.7,0.0,0.0,0.0,18.0,42.9,7.7
Austria,0.0,0.0,0.0,8.7,75.8,6.6,8.7,75.8,6.6,16.0,100.0,16.0,44.0,75.8,33.4,60.0,82.3,49.4
Belgium,2.0,73.0,1.5,17.3,20.3,3.5,19.3,25.7,5.0,15.0,63.7,9.6,17.3,20.3,3.5,32.3,40.4,13.1
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,49.9,8.0,35.0,53.2,18.6,51.0,52.1,26.6
Chile,1.0,100.0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,18.0,100.0,18.0,12.0,100.0,12.0,30.0,100.0,30.0
Czech Republic,1.0,61.0,0.6,0.0,0.0,0.0,1.0,61.0,0.6,28.0,61.0,17.1,35.3,84.5,29.8,63.3,74.1,46.9
Denmark,2.0,53.0,1.1,0.0,0.0,0.0,2.0,53.0,1.1,18.0,53.0,9.5,32.0,53.0,17.0,50.0,53.0,26.5
Estonia,2.0,100.0,2.0,0.0,0.0,0.0,2.0,100.0,2.0,20.0,100.0,20.0,146.0,44.1,64.4,166.0,50.8,84.4
Finland,3.0,62.9,1.9,6.0,62.9,3.8,9.0,62.9,5.7,17.5,74.4,13.0,143.5,19.1,27.4,161.0,25.1,40.4
France,2.0,90.4,1.8,26.0,13.7,3.6,28.0,19.2,5.4,16.0,90.4,14.5,26.0,13.7,3.6,42.0,42.9,18.0
Germany,0.0,0.0,0.0,8.7,65.0,5.7,8.7,65.0,5.7,14.0,100.0,14.0,44.0,65.0,28.6,58.0,73.4,42.6
Greece,0.4,100.0,0.4,0.0,0.0,0.0,0.4,100.0,0.4,43.0,49.5,21.3,0.0,0.0,0.0,43.0,49.5,21.3
Hungary,1.0,100.0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,24.0,70.0,16.8,136.0,37.8,51.4,160.0,42.6,68.2
Iceland,0.0,0.0,0.0,13.0,68.2,8.9,13.0,68.2,8.9,13.0,68.2,8.9,13.0,68.2,8.9,26.0,68.2,17.7
Ireland,2.0,26.7,0.5,0.0,0.0,0.0,2.0,26.7,0.5,26.0,26.7,6.9,0.0,0.0,0.0,26.0,26.7,6.9
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,100.0,15.0,0.0,0.0,0.0,15.0,100.0,15.0
Italy,0.8,100.0,0.8,0.0,0.0,0.0,0.8,100.0,0.8,21.7,80.0,17.4,26.0,30.0,7.8,47.7,52.7,25.2
Japan,0.0,0.0,0.0,52.0,58.4,30.4,52.0,58.4,30.4,14.0,67.0,9.4,44.0,59.9,26.4,58.0,61.6,35.8
Korea,0.6,100.0,0.6,52.0,28.5,14.8,52.6,29.3,15.4,12.9,80.2,10.3,52.0,28.5,14.8,64.9,38.8,25.1
Latvia,1.4,80.0,1.1,0.0,0.0,0.0,1.4,80.0,1.1,16.0,80.0,12.8,78.0,49.8,38.8,94.0,54.9,51.6
Lithuania,4.0,100.0,4.0,0.0,0.0,0.0,4.0,100.0,4.0,18.0,100.0,18.0,44.0,100.0,44.0,62.0,100.0,62.0
Luxembourg,2.0,100.0,2.0,17.3,67.2,11.6,19.3,70.6,13.6,20.0,100.0,20.0,17.3,67.2,11.6,37.3,84.8,31.6
Mexico,1.0,100.0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,12.0,100.0,12.0,0.0,0.0,0.0,12.0,100.0,12.0
Netherlands,0.4,100.0,0.4,0.0,0.0,0.0,0.4,100.0,0.4,16.0,100.0,16.0,0.0,0.0,0.0,16.0,100.0,16.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.8,8.4,0.0,0.0,0.0,18.0,46.8,8.4
Norway,0.0,0.0,0.0,10.0,94.2,9.4,10.0,94.2,9.4,13.0,94.2,12.2,78.0,39.4,30.8,91.0,47.3,43.0
Poland,2.0,100.0,2.0,0.0,0.0,0.0,2.0,100.0,2.0,20.0,100.0,20.0,32.0,67.5,21.6,52.0,80.0,41.6
Portugal,5.0,100.0,5.0,17.3,43.6,7.5,22.3,56.3,12.5,6.0,100.0,6.0,24.1,59.6,14.4,30.1,67.7,20.4
Slovak Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,75.0,25.5,130.0,21.2,27.6,164.0,32.4,53.1
Slovenia,4.3,90.0,3.9,0.0,0.0,0.0,4.3,90.0,3.9,15.0,100.0,15.0,37.1,90.0,33.4,52.1,92.9,48.4
Spain,4.3,100.0,4.3,0.0,0.0,0.0,4.3,100.0,4.3,16.0,100.0,16.0,0.0,0.0,0.0,16.0,100.0,16.0
Sweden,1.4,58.4,0.8,12.9,77.6,10.0,14.3,75.7,10.8,12.9,77.6,10.0,42.9,57.4,24.6,55.7,62.1,34.6
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,58.4,8.2,0.0,0.0,0.0,14.0,58.4,8.2
Turkey,1.0,100.0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,16.0,66.7,10.7,0.0,0.0,0.0,16.0,66.7,10.7
United Kingdom,2.0,19.2,0.4,0.0,0.0,0.0,2.0,19.2,0.4,39.0,30.1,11.7,0.0,0.0,0.0,39.0,30.1,11.7
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,100.0,17.3,0.0,0.0,0.0,17.3,100.0,17.3
Bulgaria,2.1,90.0,1.9,0.0,0.0,0.0,2.1,90.0,1.9,58.6,90.0,52.7,51.9,32.8,17.0,110.4,63.1,69.7
Croatia,0.0,0.0,0.0,8.7,42.1,3.6,8.7,42.1,3.6,30.0,100.0,30.0,26.0,42.1,10.9,56.0,73.1,40.9
Cyprus,2.0,75.1,1.5,0.0,0.0,0.0,2.0,75.1,1.5,18.0,75.1,13.5,0.0,0.0,0.0,18.0,75.1,13.5
Malta,0.2,100.0,0.2,0.0,0.0,0.0,0.2,100.0,0.2,18.0,86.3,15.5,0.0,0.0,0.0,18.0,86.3,15.5
Romania,1.0,100.0,1.0,4.3,85.0,3.7,5.3,-,-,18.0,85.0,15.3,90.7,85.0,77.1,108.7,-1.0,-1.0
